,procedure,categorie,type_of_work,posting_time,reference,programmme,objet,acheteur_public,lieu_d_execution,date_close,time_close,action,industry
0,AOO,Appel d'offres ouvert,Travaux,2021-03-26,18/2021/DPEFLCD/AZ,Travaux de Reboisement sur une superficie totale de 55 Ha répartie en Deux (02) lots,Travaux de Reboisement sur une superficie totale de 55 Ha répartie en Deux (02) lots,DIRECTEUR PROVINCIAL DES EAUX ET FORETS A AZILAL,AZILAL,2022-06-30,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=563151&orgAcronyme=w7t&code=&retraits,Travaux Forestiers
1,AOO,Appel d'offres ouvert,Travaux,2022-04-01,04/2022/DREFLCD/HA,"Fourniture  de plants forestiers individualisés normalisés en substrat et conteneur exigés (au minimum710.850 plants, au maximum 1 421.700 plants), à livrer au niveau des pépinières forestières de la Palmeraie et de","Fourniture  de plants forestiers individualisés normalisés en substrat et conteneur exigés (au minimum710.850 plants, au maximum 1 421.700 plants), à livrer au niveau des pépinières forestières de la Palmeraie et de l’Ounasda relevant de la DREFLCD du Haut Atlas  à Marrakech.",DIRECTEUR REGIONAL DES EAUX ET FORETS HAUT ATLAS MARRAKECH,MARRAKECH,2022-02-14,11:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=616768&orgAcronyme=w7t&code=&retraits,Travaux Forestiers
2,AOO,Appel d'offres ouvert,Fournitures,2022-04-01,03/2022/DREFLCD/HA,la fourniture  de plants forestiers répartis en deux lots,la fourniture  de plants forestiers répartis en deux lots,DIRECTEUR REGIONAL DES EAUX ET FORETS HAUT ATLAS MARRAKECH,"AL HAOUZ, ESSAOUIRA",2022-02-14,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=616759&orgAcronyme=w7t&code=&retraits,Travaux Forestiers
3,AOO,Appel d'offres ouvert,Travaux,2021-12-28,02/2021,la fourniture de plants forestiers individualisés normalisés en substrat et conteneur exigés au profit de la DREFLCD du Centre à Casablanca (lot unique).,la fourniture de plants forestiers individualisés normalisés en substrat et conteneur exigés au profit de la DREFLCD du Centre à Casablanca (lot unique).,DIRECTEUR REGIONAL EAUX ET FORETS DE LA REGION DU CENTRE A CASA,"CASABLANCA, MOHAMMADIA, EL JADIDA, NOUACEUR, MEDIOUNA, BENSLIMANE, BERRECHID, SETTAT, SIDI BENNOUR",2022-08-02,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=615608&orgAcronyme=w7t&code=&retraits,Travaux Forestiers
4,AOO,Appel d'offres ouvert,Fournitures,2022-07-01,01/2022/DREFLCDRSZZ,"fourniture de  plants forestiers (Plants issus de semis et plants haute tiges) individualisés normalisés en substrat et conteneur exigés, à livrer au niveau de la pépinière forestière de Sidi Amira, relevant de la DPEFLCD","fourniture de  plants forestiers (Plants issus de semis et plants haute tiges) individualisés normalisés en substrat et conteneur exigés, à livrer au niveau de la pépinière forestière de Sidi Amira, relevant de la DPEFLCD de Rabat (lot unique).",Direction Regionale des Eaux et Forets et de la Lutte Contre la Desertification de Rabat Sale Zemmour Zaer a Khemisset,SALE,2022-01-31,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617137&orgAcronyme=w7t&code=&retraits,Travaux Forestiers
5,AOO,Appel d'offres ouvert,Travaux,2021-12-28,25/2021/DPA/IF,"Travaux de plantation des plantules de cactus à la C.T de Sbouya, Cercle d’Ifni, Province de Sidi Ifni dans le cadre de l’Agriculture solidaire de la Génération Green.","Travaux de plantation des plantules de cactus à la C.T de Sbouya, Cercle d’Ifni, Province de Sidi Ifni dans le cadre de l’Agriculture solidaire de la Génération Green.",Direction Pronvinciale de l'Agriculture de Sidi Ifni,SIDI IFNI,2022-01-20,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=615782&orgAcronyme=q1s&code=&retraits,Travaux Forestiers
6,AOO,Appel d'offres ouvert,Travaux,2021-12-30,02/2021,Programme prévisionnel 2021,Programme prévisionnel 2021,Collectivité territoriale de SIDI TAIBI,KENITRA,2022-03-30,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=616276&orgAcronyme=i1t&code=&retraits,Travaux de construction et d’aménagement
7,AOO,Appel d'offres ouvert,Travaux,2021-12-31,147/2021/DAH,Achèvement des travaux de construction du barrage M’dez dans la province de Sefrou,Achèvement des travaux de construction du barrage M’dez dans la province de Sefrou,DIRECTEUR DES AMENAGEMENTS HYDRAULIQUES,SEFROU,2022-02-25,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=616371&orgAcronyme=k2q&code=&retraits,Travaux de construction et d’aménagement
8,AOO,Appel d'offres ouvert,Travaux,2022-12-01,01/2022,TRAVAUX D’AMENAGEMENT DE LA SALLE DE SPECTACLE ABDESSAMAD EL KANFAOUI RELEVANT DE LA DIRECTION REGIONALE CASABLANCA-SETTAT.,TRAVAUX D’AMENAGEMENT DE LA SALLE DE SPECTACLE ABDESSAMAD EL KANFAOUI RELEVANT DE LA DIRECTION REGIONALE CASABLANCA-SETTAT.,DELEGUE PREFECTORAL DE LA JEUNESSE ET DES SPORTS - PREFECTURE D'ARRONDISSEMENT CASA ANFA,CASABLANCA,2022-02-25,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617463&orgAcronyme=s3d&code=&retraits,Travaux de construction et d’aménagement
9,AOO,Appel d'offres ouvert,Travaux,2021-12-29,104DR3/21,AEP par branchement individuels des douars relevant de la commune laqraqra (1ère tranche) Lot : Génie civil et  Equipement-,AEP par branchement individuels des douars relevant de la commune laqraqra (1ère tranche) Lot : Génie civil et  Equipement-,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,SETTAT,2022-02-22,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=615733&orgAcronyme=d4q&code=&retraits,Travaux de construction et d’aménagement
10,AOO,Appel d'offres ouvert,Travaux,2022-01-17,02/2022,TRAVAUX DE REHABILITATION ET D’AMENAGEMENT DU PARC COMMUNAL A LA COMMUNE LOULAD - PROVINCE DE SETTAT.,TRAVAUX DE REHABILITATION ET D’AMENAGEMENT DU PARC COMMUNAL A LA COMMUNE LOULAD - PROVINCE DE SETTAT.,Commune urbaine de LOULAD,"MAROC, SETTAT",2022-02-17,11:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617897&orgAcronyme=h5r&code=&retraits,Travaux de construction et d’aménagement
11,AOO,Appel d'offres ouvert,Travaux,2021-12-28,TN4114949/2021/ONEEBELEC,Renforcement de la sécurité des postes relevant de la DTN/XT,Renforcement de la sécurité des postes relevant de la DTN/XT,OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,"Wilaya de Tetouan, Wilaya de Tanger Assilah",2022-02-17,09:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=615859&orgAcronyme=d4q&code=&retraits,Travaux de construction et d’aménagement
12,AOO,Appel d'offres ouvert,Travaux,2022-01-14,38/2021/BP,TRAVAUX D’ACHEVEMENT D'UN ESPACE POUR LA PRODUCTION ET LA COMMERCIALISATION DES PRODUITS DE L'ARTISAN A LA COMMUNE TERRITORIALE DE TAMELLALET A LA PROVINCE D'EL KELAA DE SRAGHNA,TRAVAUX D’ACHEVEMENT D'UN ESPACE POUR LA PRODUCTION ET LA COMMERCIALISATION DES PRODUITS DE L'ARTISAN A LA COMMUNE TERRITORIALE DE TAMELLALET A LA PROVINCE D'EL KELAA DE SRAGHNA,PROVINCE D'EL KELAA DES SRAGHNA,Province de Kelaa des Sraghnas,2022-02-16,11:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617761&orgAcronyme=j0w&code=&retraits,Travaux de construction et d’aménagement
