,procedure,categorie,type_of_work,posting_time,reference,programmme,objet,acheteur_public,lieu_d_execution,date_close,time_close,action,industry
0,AOO,Appel d'offres ouvert,Travaux,2021-03-26,18/2021/DPEFLCD/AZ,Travaux de Reboisement sur une superficie totale de 55 Ha répartie en Deux (02) lots,Travaux de Reboisement sur une superficie totale de 55 Ha répartie en Deux (02) lots,DIRECTEUR PROVINCIAL DES EAUX ET FORETS A AZILAL,AZILAL,2022-06-30,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=563151&orgAcronyme=w7t&code=&retraits,Cons
1,AOO,Appel d'offres ouvert,Travaux,2021-12-30,02/2021,Programme prévisionnel 2021,Programme prévisionnel 2021,Collectivité territoriale de SIDI TAIBI,KENITRA,2022-03-30,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=616276&orgAcronyme=i1t&code=&retraits,Cons
2,AOO,Appel d'offres ouvert,Travaux,2021-12-21,44/2021/SER," Travaux de construction des deux bassins de stockage, de régulation et de décantation d'eau d'irrigationprévue en un lot uniquedans le périmètre du Garet."," Travaux de construction des deux bassins de stockage, de régulation et de décantation d'eau d'irrigationprévue en un lot uniquedans le périmètre du Garet.",OFFICE REGIONAL DE MISE EN VALEUR AGRICOLE DE MELOUIA,NADOR,2022-03-22,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=614767&orgAcronyme=q1s&code=&retraits,Cons
3,AOO,Appel d'offres ouvert,Fournitures,2021-11-17,57/2021,Acquisition de cyclomoteurs électrique avec caisson pour le compte de Barid Al Maghrib S.A.,Acquisition de cyclomoteurs électrique avec caisson pour le compte de Barid Al Maghrib S.A.,POSTE MAROC,"TANGER-ASSILAH, MDIQ-FNIDEQ, TETOUAN, FAHS-ANJRA, LARACHE, AL HOCEIMA, CHEFCHAOUEN, OUEZZANE, OUJDA-ANGAD, NADOR, DRIOUCH, JERADA, BERKANE, TAOURIRT, GUERCIF, FIGUIG, FES, MEKNES, EL-HAJEB, IFRANE, MOULAY-YACOUB, SEFROU, BOULEMANE, TAOUNATE, TAZA, RABAT, SALE, SKHIRATE-TEMARA, KENITRA, KHEMISSET, SIDI KACEM, SIDI SLIMANE, BENI MELLAL, AZILAL, FQUIH BEN SALAH, KHENIFRA, KHOURIBGA, CASABLANCA, MOHAMMADIA, EL JADIDA, NOUACEUR, MEDIOUNA, BENSLIMANE, BERRECHID, SETTAT, SIDI BENNOUR, MARRAKECH, CHICHAOUA, AL HAOUZ, EL KELAA DES SRAGHNA, ESSAOUIRA, REHAMNA, SAFI, YOUSSOUFIA, ERRACHIDIA, OUARZAZATE, MIDELT, TINGHIR, ZAGORA, AGADIR IDA OU TANANE, INEZGANE-AIT MELLOUL, CHTOUKA-AIT BAHA, TAROUDANNT, TIZNIT, TATA, GUELMIM, ASSA-ZAG, TAN-TAN, SIDI IFNI, LAAYOUNE, BOUJDOUR, TARFAYA, ES-SEMARA, OUED ED DAHAB, AOUSSERD",2022-03-17,09:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=607476&orgAcronyme=m1w&code=&retraits,Cons
4,AOO,Appel d'offres ouvert,Travaux,2021-12-17,01/2022/CFR,Travaux d’élargissement et de renforcement de la RP 3453 du PK 0+000 au PK 8+500 (Province d’El Jadida),Travaux d’élargissement et de renforcement de la RP 3453 du PK 0+000 au PK 8+500 (Province d’El Jadida),DIRECTEUR PROVINCIAL DE L'EQUIPEMENT A EL JADIDA,EL JADIDA,2022-08-03,11:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=614284&orgAcronyme=o8p&code=&retraits,Cons
5,AOO,Appel d'offres ouvert,Travaux,2021-12-31,62DR3/21,la Mise en place des systèmes de vidéo surveillance et anti-intrusion,la Mise en place des systèmes de vidéo surveillance et anti-intrusion,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,BENI MELLAL,2022-03-03,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=616169&orgAcronyme=d4q&code=&retraits,Cons
6,AOO,Appel d'offres ouvert,Fournitures,2022-01-14,DXG/GN4115292/2022,Fourniture des PDR pour les installations auxiliaires des centrales de la Division Sud de la Direction Exploitation Turbines à Gaz,Fourniture des PDR pour les installations auxiliaires des centrales de la Division Sud de la Direction Exploitation Turbines à Gaz,OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,"TAN-TAN, LAAYOUNE, OUED ED DAHAB",2022-03-03,09:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617567&orgAcronyme=d4q&code=&retraits,Cons
7,AOO,Appel d'offres ouvert,Fournitures,2022-01-14,2/2022/DPA/G,"Fourniture de 27 800 Quintaux d’orge subventionnée pour l’alimentation du bétail au profit des éleveurs y compris le chargement/déchargement, le transport et la livraison aux chefs-lieux des communes Rurales relevant de","Fourniture de 27 800 Quintaux d’orge subventionnée pour l’alimentation du bétail au profit des éleveurs y compris le chargement/déchargement, le transport et la livraison aux chefs-lieux des communes Rurales relevant de la zone d’action de la Direction provinciale de  l’Agriculture de GUERCIF, Lot Unique .",DIRECTEUR PROVINCIAL DE L'AGRICULTURE DE GUERCIF,GUERCIF,2022-02-03,11:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617722&orgAcronyme=q1s&code=&retraits,Cons
8,AOO,Appel d'offres ouvert,Travaux,2021-12-30,DT4115573,Injection de 06 postes HTA/BT et création des départs BT aux postes de transformation relevant des Provinciales ESSAOUIRA et CHICHAOUA,Injection de 06 postes HTA/BT et création des départs BT aux postes de transformation relevant des Provinciales ESSAOUIRA et CHICHAOUA,OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,"CHICHAOUA, ESSAOUIRA",2022-02-03,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=616235&orgAcronyme=d4q&code=&retraits,Cons
9,CONCA,Concours Architectural,Services,2022-01-14,04/2021/ALEM,"Concours architectural pour la conception, les études architecturales et le suivi des travaux de construction de 200 logements moyen standing 1ère tranche à Laayoune.","Concours architectural pour la conception, les études architecturales et le suivi des travaux de construction de 200 logements moyen standing 1ère tranche à Laayoune.",AGENCE DE LOGEMENTS ET D'EQUIPEMENTS MILITAIRES,LAAYOUNE,2022-01-03,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617479&orgAcronyme=b5j&code=&retraits,Cons
10,AOO,Appel d'offres ouvert,Travaux,2021-12-31,146/2021/DAH,Construction du barrage Targa Ou madi dans la province de Guercif,Construction du barrage Targa Ou madi dans la province de Guercif,DIRECTEUR DES AMENAGEMENTS HYDRAULIQUES,GUERCIF,2022-02-28,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=616409&orgAcronyme=k2q&code=&retraits,Cons
11,AOO,Appel d'offres ouvert,Fournitures,2022-01-17,01/2022/DPA/10/SS,"Achat de Quarante cinq Mille (45 000) Quintaux d’Orge subventionnée pour l’alimentation du bétail au profit des éleveurs y compris le chargement, le déchargement, le transport et la livraison aux chefs lieux des Communes","Achat de Quarante cinq Mille (45 000) Quintaux d’Orge subventionnée pour l’alimentation du bétail au profit des éleveurs y compris le chargement, le déchargement, le transport et la livraison aux chefs lieux des Communes Territoriales Relevant de la zone d’action de la DPA de Rhamna",DIRECTION PROVINCIALE DE L'AGRICULTURE DE RHAMNA,REHAMNA,2022-02-28,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617983&orgAcronyme=q1s&code=&retraits,Cons
12,AOO,Appel d'offres ouvert,Fournitures,2022-01-17,DAO/CB/MCAM/EW39L/GovM,"Acquisition, Livraison, Installation et Mise en marche des équipements technico-pédagogiques destinés à l’Institut de Formation dans les Métiers du Transport et de la Logistique (IFMTL Nouaceur) bénéficiant de l’appui","Acquisition, Livraison, Installation et Mise en marche des équipements technico-pédagogiques destinés à l’Institut de Formation dans les Métiers du Transport et de la Logistique (IFMTL Nouaceur) bénéficiant de l’appui financier du Fonds Charaka en lot unique :",Acheteur public :,NOUACEUR,2022-02-25,15:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617831&orgAcronyme=a1t&code=&retraits,Cons
13,AOO,Appel d'offres ouvert,Travaux,2021-12-31,147/2021/DAH,Achèvement des travaux de construction du barrage M’dez dans la province de Sefrou,Achèvement des travaux de construction du barrage M’dez dans la province de Sefrou,DIRECTEUR DES AMENAGEMENTS HYDRAULIQUES,SEFROU,2022-02-25,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=616371&orgAcronyme=k2q&code=&retraits,Cons
14,AOO,Appel d'offres ouvert,Travaux,2022-12-01,01/2022,TRAVAUX D’AMENAGEMENT DE LA SALLE DE SPECTACLE ABDESSAMAD EL KANFAOUI RELEVANT DE LA DIRECTION REGIONALE CASABLANCA-SETTAT.,TRAVAUX D’AMENAGEMENT DE LA SALLE DE SPECTACLE ABDESSAMAD EL KANFAOUI RELEVANT DE LA DIRECTION REGIONALE CASABLANCA-SETTAT.,DELEGUE PREFECTORAL DE LA JEUNESSE ET DES SPORTS - PREFECTURE D'ARRONDISSEMENT CASA ANFA,CASABLANCA,2022-02-25,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617463&orgAcronyme=s3d&code=&retraits,Cons
15,AOO,Appel d'offres ouvert,Services,2022-01-13,O1/2022,ETUDE RELATIVE A L’ELABORATION DU PROGRAMME DE DEVELOPPEMENT DE LA REGION DE CASABLANCA-SETTAT » EN LOT UNIQUE,ETUDE RELATIVE A L’ELABORATION DU PROGRAMME DE DEVELOPPEMENT DE LA REGION DE CASABLANCA-SETTAT » EN LOT UNIQUE,AGENCE REGIONALE D'EXECUTION DES PROJETS CASABLANCA SETTAT,"CASABLANCA, MOHAMMADIA, EL JADIDA, NOUACEUR, MEDIOUNA, BENSLIMANE, BERRECHID, SETTAT, SIDI BENNOUR",2022-02-24,10:30,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617543&orgAcronyme=a1z&code=&retraits,Cons
16,AOO,Appel d'offres ouvert,Travaux,2021-12-29,117DR3/21,Tranche urgente réhabilitation réseau de la ville de Berrechid Lot : Réhabilitation du réseau restant du quartier Hassani.,Tranche urgente réhabilitation réseau de la ville de Berrechid Lot : Réhabilitation du réseau restant du quartier Hassani.,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,BERRECHID,2022-02-24,10:15,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=615855&orgAcronyme=d4q&code=&retraits,Cons
17,AOO,Appel d'offres ouvert,Travaux,2021-12-29,102DR3/21,"Renouvellement des Equipements des ventouses, vannes, équipements de protection  anti-béliers et purgeurs","Renouvellement des Equipements des ventouses, vannes, équipements de protection  anti-béliers et purgeurs",OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,"BENI MELLAL, AZILAL, FQUIH BEN SALAH, KHENIFRA, KHOURIBGA, BENSLIMANE, BERRECHID, SETTAT",2022-02-24,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=615726&orgAcronyme=d4q&code=&retraits,Cons
18,AOO,Appel d'offres ouvert,Services,2021-12-31,150/2021/DAH,Contrôle des travaux de construction du barrage Jebha dans la province de Chefchaouen,Contrôle des travaux de construction du barrage Jebha dans la province de Chefchaouen,DIRECTEUR DES AMENAGEMENTS HYDRAULIQUES,CHEFCHAOUEN,2022-02-24,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=616394&orgAcronyme=k2q&code=&retraits,Cons
19,AOO,Appel d'offres ouvert,Fournitures,2022-08-01,02/2022/ISMAC,Fournitures et l’installation des équipements techniques et audiovisuels à L’Institut Supérieur des Métiers de l’Audiovisuel et du Cinéma,Fournitures et l’installation des équipements techniques et audiovisuels à L’Institut Supérieur des Métiers de l’Audiovisuel et du Cinéma,INSTITUT SUPERIEUR DES METIERS DE L'AUDIO-VISUEL ET DU CINEMA,RABAT,2022-02-24,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617089&orgAcronyme=x6c&code=&retraits,Cons
20,AOO,Appel d'offres ouvert,Services,2022-12-01,DPARN1/02/2022,Achèvement du contrôle et suivi de la qualité des travaux de réalisation de la voie express Tiznit Laâyoune section Tarfaya Oued El Waar du Pk1376+000 au Pk1416+000 de la RN1 sur 40km. Province de Tarfaya.,Achèvement du contrôle et suivi de la qualité des travaux de réalisation de la voie express Tiznit Laâyoune section Tarfaya Oued El Waar du Pk1376+000 au Pk1416+000 de la RN1 sur 40km. Province de Tarfaya.,DIRECTION PROVISOIRE D'AMENAGEMENT DE LA RN1 ENTRE TIZNIT ET DAKHLA,TARFAYA,2022-02-24,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617499&orgAcronyme=o8p&code=&retraits,Cons
21,AOO,Appel d'offres ouvert,Services,2022-01-17,02/2022,L’Externalisation des prestations :,Pour le compte du CENTRE HOSPITALIER PROVINCIAL D’EL KELAA SRAGHNA ET LA DELEGATION PROVINCIALE DE,D’Appui de Gestion Administrative,Province de Kelaa des Sraghnas,2022-02-24,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617691&orgAcronyme=q9t&code=&retraits,Cons
22,AOO,Appel d'offres ouvert,Fournitures,2022-12-01,01/2022/DA/CS/PRG/INH/DELM,"  ACHAT DES REACTIFS A USAGE DE DIAGNOSTIC IN VITRO, PRODUITS CHIMIQUES, CONSOMMABLES MEDICAUX ET DISPOSITIFS MEDICAUX DESTINES AUX PROGRAMMES SANITAIRES DE LA DIRECTION DE L’EPIDEMIOLOGIE ET DE LUTTE CONTRE LES MALADIES Et A","  ACHAT DES REACTIFS A USAGE DE DIAGNOSTIC IN VITRO, PRODUITS CHIMIQUES, CONSOMMABLES MEDICAUX ET DISPOSITIFS MEDICAUX DESTINES AUX PROGRAMMES SANITAIRES DE LA DIRECTION DE L’EPIDEMIOLOGIE ET DE LUTTE CONTRE LES MALADIES Et A l’INSTITUT NATIONAL D’HYGIENE",CHEF DE DIVISION DE L'APPROVISIONEMENT -RABAT-,"CASABLANCA, BERRECHID",2022-02-24,09:30,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617451&orgAcronyme=q9t&code=&retraits,Cons
23,AOO,Appel d'offres ouvert,Services,2022-05-01,PX4115721/2022/DXR,Prestations de Gardiennage et Surveillance des sites administratifs et d’exploitations de la Direction Exploitation Renouvelables,Prestations de Gardiennage et Surveillance des sites administratifs et d’exploitations de la Direction Exploitation Renouvelables,OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,MAROC,2022-02-24,09:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=616898&orgAcronyme=d4q&code=&retraits,Cons
24,AOO,Appel d'offres ouvert,Fournitures,2022-10-01,1/2022/DPA/G,"Fourniture de 22 200 Quintaux d’orge subventionnée pour l’alimentation du bétail au profit des éleveurs y compris le chargement/déchargement, le transport et la livraison aux chefs-lieux des communes Rurales relevant de","Fourniture de 22 200 Quintaux d’orge subventionnée pour l’alimentation du bétail au profit des éleveurs y compris le chargement/déchargement, le transport et la livraison aux chefs-lieux des communes Rurales relevant de la zone d’action de la Direction provinciale de  l’Agriculture de GUERCIF, Lot Unique",DIRECTEUR PROVINCIAL DE L'AGRICULTURE DE GUERCIF,GUERCIF,2022-02-23,11:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617268&orgAcronyme=q1s&code=&retraits,Cons
25,AOO,Appel d'offres ouvert,Travaux,2021-12-31,149/2021/DAH,Travaux de réalisation des équipements hydromécaniques et électromécaniques du barrage Boulaouane dans la province de Chichaoua,Travaux de réalisation des équipements hydromécaniques et électromécaniques du barrage Boulaouane dans la province de Chichaoua,DIRECTEUR DES AMENAGEMENTS HYDRAULIQUES,CHICHAOUA,2022-02-23,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=616315&orgAcronyme=k2q&code=&retraits,Cons
26,AOO,Appel d'offres ouvert,Fournitures,2022-07-01,07/2022/DPA/52,"Lot 1 : Achat de 17 695 quintaux d’orge subventionnée pour l’alimentation du bétail au profit des éleveurs des communes : Beni Guil, Ain Chair, Bouanan, Ain chouater et Douar Tamlelt, y compris le chargement, le transport","Lot 1 : Achat de 17 695 quintaux d’orge subventionnée pour l’alimentation du bétail au profit des éleveurs des communes : Beni Guil, Ain Chair, Bouanan, Ain chouater et Douar Tamlelt, y compris le chargement, le transport et la livraison aux chefs-lieux des communes territoriales et/ou sièges des coopératives relevant de la zone d’action de la Direction Provinciale de l’Agriculture de Figuig.",,FIGUIG,2022-02-23,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617216&orgAcronyme=q1s&code=&retraits,Cons
27,AOO,Appel d'offres ouvert,Services,2022-01-13,02/2022,"Consultation Architecturale pour études et suivi des travaux de Construction d'un Bureau d'Etat Civil à Ouled Bder à  la commune territorial Ounnana, province Ouezzane .","Consultation Architecturale pour études et suivi des travaux de Construction d'un Bureau d'Etat Civil à Ouled Bder à  la commune territorial Ounnana, province Ouezzane .",Commune rurale de OUNNANA,OUEZZANE,2022-02-23,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617569&orgAcronyme=i1t&code=&retraits,Cons
28,AOO,Appel d'offres ouvert,Travaux,2021-01-12,DC4113433/2021/ONEE,Mise en conformité et insertion des fusibles HTA au poste H61 ONED relevant de la direction provinciale de Settat,Mise en conformité et insertion des fusibles HTA au poste H61 ONED relevant de la direction provinciale de Settat,OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,"BERRECHID, SETTAT",2022-02-23,09:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=610801&orgAcronyme=d4q&code=&retraits,Cons
29,AOO,Appel d'offres ouvert,Travaux,2021-10-12,DN4114665,": TRAVAUX D’ADAPTATION ET D’AUGMENTATION DE PUISSANCE DE 2x20MVA A 2x40 MVA, AU POSTE 60/22KV RMEL (Cordonnées LAMBERT : X=490510, Y=428755) , situé à la commune territoriale LAAOUAMRA (Province LARACHE)",": TRAVAUX D’ADAPTATION ET D’AUGMENTATION DE PUISSANCE DE 2x20MVA A 2x40 MVA, AU POSTE 60/22KV RMEL (Cordonnées LAMBERT : X=490510, Y=428755) , situé à la commune territoriale LAAOUAMRA (Province LARACHE)",OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,LARACHE,2022-02-23,09:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=612648&orgAcronyme=d4q&code=&retraits,Cons
30,AOO,Appel d'offres ouvert,Travaux,2021-12-24,DF4114159,Sécurisation des sites des centres urbains et névralgiques de la DP Fès,Sécurisation des sites des centres urbains et névralgiques de la DP Fès,OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,FES,2022-02-23,09:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=615385&orgAcronyme=d4q&code=&retraits,Cons
31,AOO,Appel d'offres ouvert,Fournitures,2022-01-17,EW39K,"Acquisition, Livraison, Installation et Mise en marche des équipements technico-pédagogiques destinés aux instituts de formation professionnelle bénéficiant de l’appui financier du Fonds Charaka en 13 lots","Acquisition, Livraison, Installation et Mise en marche des équipements technico-pédagogiques destinés aux instituts de formation professionnelle bénéficiant de l’appui financier du Fonds Charaka en 13 lots",AGENCE MCA-MOROCCO,"FAHS-ANJRA, OUJDA-ANGAD, MEKNES, BENI MELLAL, CASABLANCA, NOUACEUR, BERRECHID",2022-02-22,15:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617864&orgAcronyme=a1t&code=&retraits,Cons
32,AOO,Appel d'offres ouvert,Services,2022-05-01,01/2022,"Entretien et nettoyage des locaux relevant de la Préfecture de Police de Laâyoune (Chef lieu et 2ème District de Police de Laâyoune, SR Dakhla et PF El Guergarate), District Provinciaux qui en dépendent (Sidi Ifni, Guelmim,","Entretien et nettoyage des locaux relevant de la Préfecture de Police de Laâyoune (Chef lieu et 2ème District de Police de Laâyoune, SR Dakhla et PF El Guergarate), District Provinciaux qui en dépendent (Sidi Ifni, Guelmim, Tan-Tan, CPM Tan-Tan, Es-semara, Boujdour).", PREFECTURE DE POLICE DE LAAYOUNE,"GUELMIM, TAN-TAN, SIDI IFNI, LAAYOUNE, BOUJDOUR, ES-SEMARA, OUED ED DAHAB, AOUSSERD",2022-02-22,11:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=616828&orgAcronyme=g3h&code=&retraits,Cons
33,AOO,Appel d'offres ouvert,Travaux,2022-01-16,02/SAP/SP.IM/2022,Travaux d’installation du système de la vidéo surveillance  au siège  de  la Préfecture  de Police de Casablanca,Travaux d’installation du système de la vidéo surveillance  au siège  de  la Préfecture  de Police de Casablanca,PREFET DE LA POLICE DU GRAND CASA,CASABLANCA,2022-02-22,11:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617809&orgAcronyme=g3h&code=&retraits,Cons
34,AOO,Appel d'offres ouvert,Travaux,2021-12-29,104DR3/21,AEP par branchement individuels des douars relevant de la commune laqraqra (1ère tranche) Lot : Génie civil et  Equipement-,AEP par branchement individuels des douars relevant de la commune laqraqra (1ère tranche) Lot : Génie civil et  Equipement-,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,SETTAT,2022-02-22,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=615733&orgAcronyme=d4q&code=&retraits,Cons
35,AOO,Appel d'offres ouvert,Travaux,2021-12-31,148/2021/DAH,Travaux de réalisation des équipements hydromécaniques et électromécaniques du barrage Sidi Abbou dans la province de Taounate,Travaux de réalisation des équipements hydromécaniques et électromécaniques du barrage Sidi Abbou dans la province de Taounate,DIRECTEUR DES AMENAGEMENTS HYDRAULIQUES,TAOUNATE,2022-02-22,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=616308&orgAcronyme=k2q&code=&retraits,Cons
36,AOO,Appel d'offres ouvert,Fournitures,2022-01-14,DF3113047,Acquisition des modems pour adaptation des OCR de la Direction Régionale Distribution Fès à la communication par le réseau GPRS/3G/4G,Acquisition des modems pour adaptation des OCR de la Direction Régionale Distribution Fès à la communication par le réseau GPRS/3G/4G,OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,FES,2022-02-22,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617679&orgAcronyme=d4q&code=&retraits,Cons
37,AOO,Appel d'offres ouvert,Travaux,2022-01-14,DF3115172,Aménagement et renforcement du réseau BTA du quartier AKACHMIR (Province EL HAJEB),Aménagement et renforcement du réseau BTA du quartier AKACHMIR (Province EL HAJEB),OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,EL-HAJEB,2022-02-22,10:00,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailsConsultation&refConsultation=617683&orgAcronyme=d4q&code=&retraits,Cons
